X,Y,Voltage
64.0,5.0,34.350550491665885
65.0,5.0,34.28854676475747
66.0,5.0,34.19304413408037
67.0,5.0,34.061933077586104
68.0,5.0,33.89326974939634
69.0,5.0,33.68527603276998
70.0,5.0,33.43633202557132
71.0,5.0,33.14496118029743
72.0,5.0,32.80980791081641
73.0,5.0,32.42960691681775
74.0,5.0,32.00314281937295
75.0,5.0,31.529197995283035
76.0,5.0,31.006485784962962
77.0,5.0,30.43356555755672
78.0,5.0,29.808735452167163
79.0,5.0,29.129897930786022
80.0,5.0,28.394392447974933
81.0,5.0,27.598788314808743
82.0,5.0,26.73862881620687
83.0,5.0,25.808114301823483
84.0,5.0,24.799706688209913
85.0,5.0,23.703629921395105
86.0,5.0,22.50722978400307
87.0,5.0,21.194141350268612
88.0,5.0,19.743193014821106
89.0,5.0,18.12695305750099
90.0,5.0,16.30980227459713
91.0,5.0,14.245407516457876
92.0,5.0,11.873511346089908
93.0,5.0,9.116127881268937
94.0,5.0,5.873734375794188
95.0,5.0,2.0232558107442546
96.0,5.0,-2.5777901115958337
97.0,5.0,-8.071972162381343
98.0,5.0,-14.552418377560926
99.0,5.0,-21.96805171541818
100.0,5.0,-30.0
0.0,6.0,30.0
1.0,6.0,30.007736797208757
2.0,6.0,30.01562000684401
3.0,6.0,30.023796257164545
4.0,6.0,30.032412635785427
5.0,6.0,30.041616919099845
6.0,6.0,30.051557801279685
7.0,6.0,30.06238512254677
8.0,6.0,30.074250096258215
9.0,6.0,30.087305534156908
10.0,6.0,30.101706068897435
11.0,6.0,30.117608372663796
12.0,6.0,30.135171370340046
13.0,6.0,30.154556445271137
14.0,6.0,30.17592763514819
15.0,6.0,30.199451814960387
16.0,6.0,30.225298863257947
17.0,6.0,30.25364180715558
18.0,6.0,30.284656940551738
19.0,6.0,30.31852390892717
20.0,6.0,30.355425752792804
21.0,6.0,30.395548900353266
22.0,6.0,30.439083098209128
23.0,6.0,30.486221266903236
24.0,6.0,30.537159265785228
25.0,6.0,30.592095548981902
26.0,6.0,30.651230691172827
27.0,6.0,30.714766758330764
28.0,6.0,30.782906494544925
29.0,6.0,30.85585229144771
30.0,6.0,30.933804901565708
31.0,6.0,31.016961851067627
32.0,6.0,31.105515500859664
33.0,6.0,31.19965069777035
34.0,6.0,31.29954194970509
35.0,6.0,31.4053500502118
36.0,6.0,31.517218069046425
37.0,6.0,31.635266616330977
38.0,6.0,31.759588279192013
39.0,6.0,31.890241122005342
40.0,6.0,32.02724113551286
41.0,6.0,32.170553517477614
42.0,6.0,32.320082670098174
43.0,6.0,32.47566080968113
44.0,6.0,32.63703510548325
45.0,6.0,32.803853301569276
46.0,6.0,32.97564783346691
47.0,6.0,33.15181853680545
48.0,6.0,33.33161416517166
49.0,6.0,33.5141130960848
50.0,6.0,33.698203812468854
51.0,6.0,33.88256600288935
52.0,6.0,34.06565341894651
53.0,6.0,34.24567993998199
54.0,6.0,34.420610580346334
55.0,6.0,34.58815936394962
56.0,6.0,34.745795990816475
57.0,6.0,34.890762924498546
58.0,6.0,35.0201038489397
59.0,6.0,35.13070335772867
60.0,6.0,35.219336350624786
61.0,6.0,35.28272417932437
62.0,6.0,35.317593477049165
63.0,6.0,35.320733170888445
64.0,6.0,35.289045554466114
65.0,6.0,35.21958834078256
66.0,6.0,35.10960596624581
67.0,6.0,34.95654969717292
68.0,6.0,34.75808703141809
69.0,6.0,34.51210137571027
70.0,6.0,34.216683022655346
71.0,6.0,33.8701121271813
72.0,6.0,33.47083378822785
73.0,6.0,33.01742456928791
74.0,6.0,32.5085489187518
75.0,6.0,31.942903046239476
76.0,6.0,31.319142941342125
77.0,6.0,30.635792455840296
78.0,6.0,29.891126771710958
79.0,6.0,29.08302617045443
80.0,6.0,28.208794742169406
81.0,6.0,27.26493831652064
82.0,6.0,26.246895074739655
83.0,6.0,25.148710490723772
84.0,6.0,23.96264494908418
85.0,6.0,22.678697347097167
86.0,6.0,21.284021415968017
87.0,6.0,19.762204254259807
88.0,6.0,18.092370579124793
89.0,6.0,16.248075559002025
90.0,6.0,14.195962462806872
91.0,6.0,11.89420667888907
92.0,6.0,9.290880363502573
93.0,6.0,6.322617558933506
94.0,6.0,2.9144467517902304
95.0,6.0,-1.017468203745111
96.0,6.0,-5.55708942283525
97.0,6.0,-10.769179955009633
